tweet_clean,Tweet
"['mari', 'dukung', 'penuh', 'temu', 'g', 'empower', 'jadi', 'perempuan', 'katalisator', 'bangun', 'ekonomi', 'dunia']",mari dukung penuh temu g empower jadi perempuan katalisator bangun ekonomi dunia
"['mendikbud', 'ristek', 'nadiem', 'makarim', 'kenal', 'program', 'merdeka', 'ajar', 'negara', 'g']",mendikbud ristek nadiem makarim kenal program merdeka ajar negara g
"['mendikbudristek', 'terobos', 'merdeka', 'ajar', 'temu', 'edwg', 'g', 'gindonesia', 'presiden']",mendikbudristek terobos merdeka ajar temu edwg g gindonesia presiden
"['menindaklanjuti', 'st', 'edm-cswg', 'yogyakarta', 'temu', 'laksana', 'jakarta', 'tang']",menindaklanjuti st edm-cswg yogyakarta temu laksana jakarta tang
"['menkominfo', 'harap', 'sidang', 'dewg', 'g', 'hasil', 'sepakat', 'baik', 'delegasi', 'milik', 'k']",menkominfo harap sidang dewg g hasil sepakat baik delegasi milik k
"['menkominfo', 'johnny', 'g', 'plate', 'perintah', 'koordinasi', 'anggota', 'g', 'partner', 'lokal', 'globa']",menkominfo johnny g plate perintah koordinasi anggota g partner lokal globa
"['menkominfo', 'sidang', 'dewg', 'jalan', 'lancar', 'fokus', 'paham', 'meleng']",menkominfo sidang dewg jalan lancar fokus paham meleng
"['menparekraf', 'pesan', 'depan', 'kolaborasi', 'bangun', 'pariwisata', 'lanjut', 'depa']",menparekraf pesan depan kolaborasi bangun pariwisata lanjut depa
"['menteri', 'komunikasi', 'informatika', 'johnny', 'g', 'plate', 'sambut', 'delegasi', 'negara', 'anggota', 'g', 'hadir']",menteri komunikasi informatika johnny g plate sambut delegasi negara anggota g hadir
"['menteri', 'uang', 'sri', 'mulyani', 'temu', 'finance', 'ministers', 'and', 'central', 'bank', 'governors', 'fmcbg', 'g']",menteri uang sri mulyani temu finance ministers and central bank governors fmcbg g
"['moga', 'bawa', 'manfaat', 'indonesia', 'pimpin', 'industri', 'elektrifikasi', 'hidup']",moga bawa manfaat indonesia pimpin industri elektrifikasi hidup
"['moga', 'bawa', 'manfaat', 'indonesia', 'pimpin', 'industri', 'elektrifikasi', 'hidup', 'ikli']",moga bawa manfaat indonesia pimpin industri elektrifikasi hidup ikli
