,tweet_tokens
118,"['pertemuan', 'kedua', 'mendasari', 'agenda', 'pembahasan', 'pada', 'agenda', 'pertemuan', 'ketiga', 'di', 'labuan', 'bajo', 'juli', 'presidensi']"
119,"['pertemuan', 'kedua', 'mendasari', 'agenda', 'pembahasan', 'pada', 'agenda', 'pertemuan', 'ketiga', 'di', 'labuan', 'bajo', 'juli', 'presidensi']"
120,"['peserta', 'delegasi', 'negara', 'dewg', 'diajak', 'menikmati', 'makan', 'malam', 'dan', 'melihat', 'pertunjukan', 'sendratari', 'dengan', 'latar', 'belak']"
121,"['planet', 'yg', 'layak', 'huni', 'utk', 'smua', 'manusia', 'tanpa', 'pandang', 'status', 'ekonomi', 'gindonesia']"
122,"['praktek', 'terbaik', 'dari', 'jawa', 'barat', 'hunian', 'yang', 'produktif', 'dan', 'terjangkaugindonesia', 'uindonesia', 'pulihbersama']"
123,"['presiden', 'joko', 'widodo', 'berkomunikasi', 'via', 'saluran', 'telepon', 'dengan', 'presiden', 'rusia', 'vladimir', 'putin', 'terkait', 'agenda', 'ktt', 'komun']"
124,"['presiden', 'joko', 'widodo', 'sedang', 'bertolak', 'ke', 'amerika', 'serikat', 'sebagai', 'salah', 'satu', 'jadwal', 'kunjungan', 'kerja', 'berikut', 'pernyata']"
125,"['presiden', 'jokowi', 'tegaskan', 'pentingnya', 'implementasi', 'rencana', 'investasi', 'usai', 'bertemu', 'chairman', 'dan', 'ceo', 'air', 'products', 'seif']"
126,"['presiden', 'dan', 'ibu', 'iriana', 'jokowi', 'tiba', 'di', 'washington', 'dcyoutube', 'pusaka']"
127,"['presidensi', 'indonesia', 'kembali', 'menekankan', 'pentingnya', 'inklusi', 'keuangan', 'digital', 'pembiayaan', 'umkm', 'guna', 'mengurangi']"
128,"['presidensi', 'indonesia', 'kembali', 'menekankan', 'pentingnya', 'inklusi', 'keuangan', 'digital', 'pembiayaan', 'umkm', 'guna', 'mengurangi', 'kesenj']"
129,"['presidensi', 'indonesia', 'usulkan', 'empat', 'prinsip', 'ukuran', 'literasi', 'digital', 'yakni', 'infrastruktur', 'dan', 'ekosistem', 'literasi', 'pember']"
130,"['presidensi', 'indonesia', 'usulkan', 'empat', 'prinsip', 'ukuran', 'literasi', 'digital', 'yakni', 'infrastruktur', 'dan', 'ekosistem', 'literasi']"
131,"['private', 'finance', 'dalam', 'mewujudkan', 'pembangunan', 'berkelanjutan', 'di', 'negaranegara', 'berkembang', 'least', 'developing', 'countries']"
132,"['proporsi', 'energi', 'baru', 'terbarukan', 'ebt', 'dalam', 'pembangkit', 'listrik', 'di', 'indonesia', 'baru', 'berkisar', 'atau', 'masih', 'tertingg']"
133,"['rabu', 'menkominfo', 'johnny', 'plate', 'didampingi', 'chair', 'dan', 'alternate', 'chair', 'dewg', 'melakukan', 'konferen']"
134,"['rabu', 'menkominfo', 'johnny', 'plate', 'didampingi', 'chair', 'dan', 'alternate', 'chair', 'dewg', 'melakukan', 'konferensi', 'pe']"
135,"['rumah', 'tahanan', 'negara', 'kelas', 'iimajene', 'mengucapkanselamat', 'memperingati', 'hari', 'pendidikan', 'nasional', 'tahun', 'pimpin']"
136,"['sabilulungan', 'filosofi', 'sunda', 'yang', 'lekat', 'dengan', 'gotong', 'royong', 'menjadi', 'alasan', 'dipilihnya', 'bandung', 'sebagai', 'lokasi', 'pert']"
137,"['sahabatdikbud', 'mendikbudristek', 'membuka', 'pertemuan', 'kedua', 'edwg', 'dengan', 'menekankan', 'gotong', 'royong', 'sbg', 'pengg']"
138,"['sahabatdikbud', 'mendikbudristek', 'membuka', 'pertemuan', 'kedua', 'edwg', 'dengan', 'menekankan', 'gotong', 'royong', 'sbg']"
139,"['sahabatdikbud', 'melanjutkan', 'pertemuan', 'perdana', 'education', 'working', 'group', 'edwg', 'pada', 'maret', 'lalu', 'kemendikbudristek', 'akan']"
140,"['sahabatdikbud', 'melanjutkan', 'pertemuan', 'perdana', 'education', 'working', 'group', 'edwg', 'pada', 'maret', 'lalu', 'kemendikbudristek']"
141,"['sahabatdikbud', 'pertemuan', 'education', 'working', 'group', 'edwg', 'yg', 'membahas', 'agenda', 'prioritas', 'dan', 'inisiatif', 'kemendik']"
142,"['sahabatdikbud', 'pertemuan', 'education', 'working', 'group', 'edwg', 'yg', 'membahas', 'agenda', 'prioritas', 'dan', 'inisiatif', 'kemendikbudrist']"
143,"['salah', 'satu', 'hal', 'menarik', 'dari', 'daerah', 'ini', 'adalah', 'gugusan', 'vulkaniknya', 'setidaknya', 'terdapat', 'gunung', 'berapi', 'yang', 'pernah', 'ada']"
144,"['salah', 'satu', 'hal', 'menarik', 'dari', 'daerah', 'ini', 'adalah', 'gugusan', 'vulkaniknya', 'setidaknya', 'terdapat', 'gunung', 'berapi', 'yang', 'pernah']"
145,"['salah', 'satu', 'upaya', 'transisi', 'energi', 'telah', 'diterapkan', 'dalam', 'gelaran', 'yaitu', 'dengan', 'penggunaan', 'kendaraan', 'listrik', 'yang', 'rama']"
146,"['sebagai', 'salah', 'satu', 'pengampu', 'dari', 'trade', 'investment', 'and', 'industry', 'working', 'group', 'tiiwg', 'kementerian', 'investasi']"
147,"['sebagai', 'salah', 'satu', 'pengampu', 'dari', 'trade', 'investment', 'and', 'industry', 'working', 'group', 'tiiwg', 'kementerian', 'investasi', 'bkpm']"
148,"['sebagai', 'seorang', 'insinyur', 'dan', 'pengusaha', 'saya', 'sangat', 'mengagumi', 'dan', 'menikmati', 'kesempatan', 'langka', 'kunjungan', 'ini', 'karena', 'ini']"
149,"['sebagai', 'seorang', 'insinyur', 'dan', 'pengusaha', 'saya', 'sangat', 'mengagumi', 'dan', 'menikmati', 'kesempatan', 'langka', 'kunjungan', 'ini', 'karena']"
150,"['secara', 'khusus', 'presiden', 'jokowi', 'mengundang', 'presiden', 'as', 'joe', 'biden', 'untuk', 'menghadiri', 'konferensi', 'tingkat', 'tinggi', 'ktt', 'di']"
151,"['secara', 'khusus', 'presiden', 'jokowi', 'mengundang', 'presiden', 'as', 'joe', 'biden', 'untuk', 'menghadiri', 'konferensi', 'tingkat', 'tinggi', 'ktt']"
152,"['selain', 'itu', 'kemendikbud', 'juga', 'menginisiasi', 'diskusi', 'untuk', 'memperbarui', 'komitmen', 'global', 'guna', 'meningkatkan', 'pendidikan', 'di', 'unit']"
153,"['selain', 'itu', 'kemendikbud', 'juga', 'menginisiasi', 'diskusi', 'untuk', 'memperbarui', 'komitmen', 'global', 'guna', 'meningkatkan', 'pendidikan', 'di']"
154,"['selamat', 'malam', 'temankeu', 'xpertemuan', 'kedua', 'finance', 'ministers', 'and', 'central', 'bank', 'governors', 'fmcbg', 'gindonesia', 'akan', 'berlangs']"
155,"['selamat', 'malam', 'temankeuberikut', 'agenda', 'gindonesia', 'di', 'bulan', 'mei', 'recovertogetherrecoverstronger']"
