tanggal,teks
2022-02-19 14:00:39+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-19 13:51:46+00:00,b'Semoga jadi ia .. enggak lengkap rasanya kalau MotoGP Mandalika tidak mendatangkan Valentino Rossi \xf0\x9f\x99\x8f . \n\nSangat di\xe2\x80\xa6 https://t.co/Gev0QBENfu'

2022-02-19 12:00:02+00:00,b'Saksikan event balap penuh aksi &amp; sensasi\xf0\x9f\x91\x8d #MotoGPSeri2 di #SirkuitMandalika sirkuit kebanggaan Indonesia di bulan\xe2\x80\xa6 https://t.co/A0mXmSxdRj'

2022-02-19 11:46:32+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-19 09:35:14+00:00,b'https://t.co/IvGd9CWpFz sudah merilis jadwal resmi MotoGP Indonesia 2022 di sirkuit Mandalika.\n\n#motogpmandalika\xe2\x80\xa6 https://t.co/uYlm3PqMLx'

2022-02-19 09:33:21+00:00,b'Bekerjalah dengan penuh semangat dan tetap berbagi kasih. \n\nSalam sukses dan sehat selalu  \xf0\x9f\x99\x8f\n\n#MandalikaCircuit\xe2\x80\xa6 https://t.co/RokEVx7lsp'

2022-02-19 09:31:26+00:00,b'RT @SyaifulHooda: Sirkuit MotoGP Mandalika Dikeluhkan Pembalap \n\n#MotoGP #motogpmandalika https://t.co/sAuccfbBwJ'

2022-02-19 08:01:56+00:00,"b'Prediksi Kenaikan Hingga 300% Saat Perhelatan MotoGP, Pertamina Pastikan Pasokan Avtur Aman\n#Avtur #MotoGP\xe2\x80\xa6 https://t.co/x7nfDKc7Z5'"

2022-02-19 07:59:58+00:00,b'Kemenparekraf-Dorna Sports Jalin Kerja Sama Terkait Ajang MotoGP 2022\n#MotoGP #motogpmandalika #ntb #dornasports\xe2\x80\xa6 https://t.co/YaR2NVM71i'

2022-02-19 06:23:44+00:00,"b'MotoGP Mandalika, Marini: Tikungan 6 dan 7 Sirkuit Mandalika Terbaik Dunia https://t.co/EqFUC1Azhp \n\n#MotoGP #motogpmandalika'"

2022-02-18 21:47:50+00:00,"b'RT @Avendi_Prasetyo: Jadwal MotoGP 2022, Indonesia seri ke2 #motogpmandalika https://t.co/RLoy6Vmzlt'"

2022-02-18 17:21:32+00:00,"b'Sip diboyong ke ""Pertamina Mandalika International Street Circuit"", bakal berdiri Patung @jokowi Naik Motor persis\xe2\x80\xa6 https://t.co/yN7J1Hxddd'"

2022-02-18 16:36:34+00:00,"b'JADOELnews: Tiket Motogp Mandalika, sudah bisa dipesan. Bagima... https://t.co/Z21fr0oQMG \n#MandalikaCircuit\xe2\x80\xa6 https://t.co/VPuSxWWm5X'"

2022-02-18 16:32:44+00:00,"b'Nantikan, MotoGP Mandalika Siap Digelar dan Patung @jokowi Naik Motor Bakal Jadi Sorotan Dunia: Sangat Monumental!\xe2\x80\xa6 https://t.co/6AWss1DSLY'"

2022-02-18 13:09:48+00:00,b'Hafizh Syahrin #GermanGP \xf0\x9f\x87\xa9\xf0\x9f\x87\xaa 2014. #Moto2 #ClassicMotoGP #motorcycle #Motorsport #hafizhsyahrin #MotoGP\xe2\x80\xa6 https://t.co/65W0TBHJPS'

2022-02-18 13:06:34+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-18 12:58:07+00:00,"b'Tok! Pemprov NTB Jalin Kerja Sama dengan Traveloka, Siap Sukseskan Ajang Kelas Wahid!\n\n#MotoGP #MotoGPMandalika\xe2\x80\xa6 https://t.co/UxwPxstFYz'"

2022-02-18 11:39:59+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-18 11:03:03+00:00,b'BMW Siapkan Mobil Listrik Sebagai Safety Car MotoGP Mandalika https://t.co/iAckQ2vHpn #Safetycar #MotoGPMandalika https://t.co/nz7OCSbt2p'

2022-02-18 10:57:35+00:00,b'@tiket Jawabannya: MANDALIKA\n#MotoGPadatiketnya  \n#motogpmandalika'

2022-02-18 08:37:40+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-18 08:23:25+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

