2022-03-21 09:44:17+00:00,b'#MotoGPMandalika penonton terlantar https://t.co/R7WcJyGHkJ',Sabrina Putri D
2022-03-21 09:43:29+00:00,b'Yg lg viral\n#MotoGP #MotoGPMandalika https://t.co/AHB60Z04py',RattanALC $QOM
2022-03-21 09:43:00+00:00,"b'terimakasih kepada @jokowi @pertamina @KemenBUMN @MotoGP yg sukses mewujudkan dan melaksanakan event internasional #MotoGPMandalika2022 sekaligus memberikan hiburan langsung kepada masyarakat yg mampu, bagi kami yg gak mampu cukup menonton dari rumah saja.. \xf0\x9f\x98\x85\n#MotoGPMandalika'",isuzu panther
2022-03-21 09:42:21+00:00,b'RT @Rizmaya__: Indonesia Raya \n\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\nSirkuit Mandalika \n#IndonesianGP \n#MotoGPMandalika https://t.co/nJytZy9n29',Nambolu
2022-03-21 09:40:41+00:00,b'Luar Biasa\n\n#MotoGP \n#MotoGPMandalika https://t.co/lv08fu7sZw',•❖ Abang ❖•
2022-03-21 09:40:29+00:00,b'Pengalaman ak nonton #MotoGPMandalika  #penontonterlantar https://t.co/95f0D9F4wa',Sabrina Putri D
2022-03-21 09:40:27+00:00,"b'RT @apnmoa: Pada tahun 1997  @Anggun_Cipta mengenalkan "" Pawang Hujan "" pada Dunia dalam lagunya yang berjudul Pluies. Hari ini, @MotoGP me\xe2\x80\xa6'",Yusup
2022-03-21 09:39:50+00:00,"b'RT @leonisecret: Dari postingan para pembalap di social media, unique selling point MotoGP Mandalika berpotensi memulai sport tourism Indon\xe2\x80\xa6'",LEONITA JULIAN
2022-03-21 09:39:49+00:00,"b'Selain itu byk hal lain yg bikin MotoGP di Mandalika ini makin seru &amp; menarik, kayak pawang hujan yg redakan gerimis sblm balapan, crashnya Jorge Martin, &amp; aksi lempar helm dari Espargaro!\n\n#MesinBersihMaksimal #EvalubeLubricants #EvalubeJalanBareng #IndonesianGP #MotoGPMandalika https://t.co/GxV8WLpv0y'",Evalube Lubricants
2022-03-21 09:38:28+00:00,"b'Mirisnya Sampah Penonton #MotoGP Mandalika, Bikin Petugas Kebersihan Mengeluh\nhttps://t.co/WFkP8bCCtW, #Nasional\xe2\x80\x93 Di balik suksesnya gelaran ...\n.\nBaca selengkapnya : https://t.co/hZkuE6FOWI\n.\n#KanalViral #MotoGPMandalika #PetugasKebersihan #SampahPenonton #SirkuitMandalika https://t.co/BKiQOq30mB'",IG - satukanalcom
2022-03-21 09:37:50+00:00,b'RT @R_min80: RARA ISTIANI WULANDARI.\n.\n.\nSatu sosok pawang hujan pada even #MotoGPMandalika sekaligus pendobrak geriliya budaya sang Jokowi\xe2\x80\xa6',P W S
2022-03-21 09:32:23+00:00,"b'RT @aniesbaswedan: Hujan deras tidak menyurutkan semangat ribuan penonton di tribun Sirkuit Mandalika hari ini. Alhamdulillah, dapat kembal\xe2\x80\xa6'",jay 🇲🇨🇵🇸
2022-03-21 09:31:30+00:00,"b'Meskipun tradisi yang sudah ada dari zaman dahulu, aksi pawang hujan di srikuit mandalika menuai pro dan kontra. Bagaimana hukumnya dalam islam?\n\n#KISWAHKilat #Khidmatuntukrakyat  #PawangHujan #Mandalika #indonesiamotogp #rara #motogp #motogpindonesia #motogpmandalika https://t.co/D9AhQBb37U'",KISWAH
2022-03-21 09:27:31+00:00,"b'Ini kegiatan pas lagi Qday 1 #MotoGPMandalika. bsa nikmatin VIP Lounge, serta bebas milih merchandise dari gojek buat para pemenang #AlaAnakSultan dari #GoClub https://t.co/CspKH4IhF3'",asy-syarif
2022-03-21 09:22:31+00:00,b'hingga penciptaan lapangan usaha mandiri dengan lebih luas melalui pendampingan berkelanjutan. \n\n#FutureIsOurs\n#PupukKaltimMasaDepanKita\n#BUMNuntukIndonesia\n#PupukKaltim\n#PKT\n#MitraBinaanPKT\n#MotoGPMandalika',Pupuk Kaltim
2022-03-21 09:16:29+00:00,"b'RT @apnmoa: Pada tahun 1997  @Anggun_Cipta mengenalkan "" Pawang Hujan "" pada Dunia dalam lagunya yang berjudul Pluies. Hari ini, @MotoGP me\xe2\x80\xa6'",A. Hidayat
2022-03-21 09:15:51+00:00,"b'RT @apnmoa: Pada tahun 1997  @Anggun_Cipta mengenalkan "" Pawang Hujan "" pada Dunia dalam lagunya yang berjudul Pluies. Hari ini, @MotoGP me\xe2\x80\xa6'",DIO
2022-03-21 09:15:37+00:00,b'RT @R_min80: RARA ISTIANI WULANDARI.\n.\n.\nSatu sosok pawang hujan pada even #MotoGPMandalika sekaligus pendobrak geriliya budaya sang Jokowi\xe2\x80\xa6',__ԹԺɿՏeԵɿԹաԹՌ 🇲🇨
2022-03-21 09:15:17+00:00,"b'RT @apnmoa: Pada tahun 1997  @Anggun_Cipta mengenalkan "" Pawang Hujan "" pada Dunia dalam lagunya yang berjudul Pluies. Hari ini, @MotoGP me\xe2\x80\xa6'",Farid
